Patient_ID	Sample_ID	Iteration	Cluster_ID	Abundance
patient2	p2_t1	10	6	0
patient2	p2_t1	11	1	56
patient2	p2_t1	11	2	0
patient2	p2_t1	11	3	0
patient2	p2_t1	11	4	30
patient2	p2_t1	11	5	1
patient2	p2_t1	11	6	13
patient2	p2_t1	12	1	42
patient2	p2_t1	12	2	8
patient2	p2_t1	12	3	0
patient2	p2_t1	12	4	49
patient2	p2_t1	12	5	1
patient2	p2_t1	12	6	0
patient2	p2_t1	13	1	46
patient2	p2_t1	13	2	4
patient2	p2_t1	13	3	0
patient2	p2_t1	13	4	32
patient2	p2_t1	13	5	1
patient2	p2_t1	13	6	17
patient2	p2_t1	14	1	38
patient2	p2_t1	14	2	12
patient2	p2_t1	14	3	0
patient2	p2_t1	14	4	49
patient2	p2_t1	14	5	1
patient2	p2_t1	14	6	0
patient2	p2_t1	15	1	51
patient2	p2_t1	15	2	0
patient2	p2_t1	15	3	0
patient2	p2_t1	15	4	32
patient2	p2_t1	15	5	1
patient2	p2_t1	15	6	16
patient2	p2_t1	16	1	50
patient2	p2_t1	16	2	1
patient2	p2_t1	16	3	0
patient2	p2_t1	16	4	48
patient2	p2_t1	16	5	1
patient2	p2_t1	16	6	0
patient2	p2_t1	17	1	51
patient2	p2_t1	17	2	0
patient2	p2_t1	17	3	0
patient2	p2_t1	17	4	32
patient2	p2_t1	17	5	1
patient2	p2_t1	17	6	16
patient2	p2_t1	18	1	11
patient2	p2_t1	18	2	39
patient2	p2_t1	18	3	0
patient2	p2_t1	18	4	49
patient2	p2_t1	18	5	1
patient2	p2_t1	18	6	0
patient2	p2_t1	19	1	20
patient2	p2_t1	19	2	30
patient2	p2_t1	19	3	0
patient2	p2_t1	19	4	48
patient2	p2_t1	19	5	1
patient2	p2_t1	19	6	1
patient2	p2_t1	20	1	23
patient2	p2_t1	20	2	27
patient2	p2_t1	20	3	0
patient2	p2_t1	20	4	32
patient2	p2_t1	20	5	1
patient2	p2_t1	20	6	17
patient2	p2_t1	21	1	29
patient2	p2_t1	21	2	21
patient2	p2_t1	21	3	0
patient2	p2_t1	21	4	32
patient2	p2_t1	21	5	1
patient2	p2_t1	21	6	17
patient2	p2_t1	22	1	50
patient2	p2_t1	22	2	1
patient2	p2_t1	22	3	0
patient2	p2_t1	22	4	30
patient2	p2_t1	22	5	1
patient2	p2_t1	22	6	18
patient2	p2_t1	23	1	31
patient2	p2_t1	23	2	19
patient2	p2_t1	23	3	0
patient2	p2_t1	23	4	33
patient2	p2_t1	23	5	1
patient2	p2_t1	23	6	16
patient2	p2_t1	24	1	48
patient2	p2_t1	24	2	3
patient2	p2_t1	24	3	0
patient2	p2_t1	24	4	48
patient2	p2_t1	24	5	1
patient2	p2_t1	24	6	0
patient2	p2_t1	25	1	44
patient2	p2_t1	25	2	6
patient2	p2_t1	25	3	0
patient2	p2_t1	25	4	33
patient2	p2_t1	25	5	1
patient2	p2_t1	25	6	16
patient2	p2_t1	26	1	47
patient2	p2_t1	26	2	4
patient2	p2_t1	26	3	0
patient2	p2_t1	26	4	48
patient2	p2_t1	26	5	1
patient2	p2_t1	26	6	0
patient2	p2_t1	27	1	30
patient2	p2_t1	27	2	20
patient2	p2_t1	27	3	0
patient2	p2_t1	27	4	49
patient2	p2_t1	27	5	1
patient2	p2_t1	27	6	0
patient2	p2_t1	28	1	25
patient2	p2_t1	28	2	25
patient2	p2_t1	28	3	0
patient2	p2_t1	28	4	34
patient2	p2_t1	28	5	1
patient2	p2_t1	28	6	15
patient2	p2_t1	29	1	51
patient2	p2_t1	29	2	0
patient2	p2_t1	29	3	0
patient2	p2_t1	29	4	32
patient2	p2_t1	29	5	1
patient2	p2_t1	29	6	16
patient2	p2_t1	30	1	35
patient2	p2_t1	30	2	15
patient2	p2_t1	30	3	0
patient2	p2_t1	30	4	32
patient2	p2_t1	30	5	1
patient2	p2_t1	30	6	17
patient2	p2_t1	31	1	44
patient2	p2_t1	31	2	7
patient2	p2_t1	31	3	0
patient2	p2_t1	31	4	48
patient2	p2_t1	31	5	1
patient2	p2_t1	31	6	0
patient2	p2_t1	32	1	3
patient2	p2_t1	32	2	47
patient2	p2_t1	32	3	0
patient2	p2_t1	32	4	34
patient2	p2_t1	32	5	1
patient2	p2_t1	32	6	15
patient2	p2_t1	33	1	42
patient2	p2_t1	33	2	8
patient2	p2_t1	33	3	0
patient2	p2_t1	33	4	49
patient2	p2_t1	33	5	1
patient2	p2_t1	33	6	0
patient2	p2_t1	34	1	25
patient2	p2_t1	34	2	26
patient2	p2_t1	34	3	0
patient2	p2_t1	34	4	33
patient2	p2_t1	34	5	1
patient2	p2_t1	34	6	15
patient2	p2_t1	35	1	46
patient2	p2_t1	35	2	4
patient2	p2_t1	35	3	0
patient2	p2_t1	35	4	32
patient2	p2_t1	35	5	1
patient2	p2_t1	35	6	17
patient2	p2_t1	36	1	43
patient2	p2_t1	36	2	7
patient2	p2_t1	36	3	0
patient2	p2_t1	36	4	49
patient2	p2_t1	36	5	1
patient2	p2_t1	36	6	0
patient2	p2_t1	37	1	47
patient2	p2_t1	37	2	3
patient2	p2_t1	37	3	0
patient2	p2_t1	37	4	32
patient2	p2_t1	37	5	1
patient2	p2_t1	37	6	17
patient2	p2_t1	38	1	52
patient2	p2_t1	38	2	0
patient2	p2_t1	38	3	0
patient2	p2_t1	38	4	30
patient2	p2_t1	38	5	1
patient2	p2_t1	38	6	17
patient2	p2_t1	39	1	11
patient2	p2_t1	39	2	39
patient2	p2_t1	39	3	0
patient2	p2_t1	39	4	34
patient2	p2_t1	39	5	1
patient2	p2_t1	39	6	15
patient2	p2_t1	40	1	16
patient2	p2_t1	40	2	34
patient2	p2_t1	40	3	0
patient2	p2_t1	40	4	49
patient2	p2_t1	40	5	1
patient2	p2_t1	40	6	0
patient2	p2_t1	41	1	59
patient2	p2_t1	41	2	0
patient2	p2_t1	41	3	0
patient2	p2_t1	41	4	23
patient2	p2_t1	41	5	1
patient2	p2_t1	41	6	17
patient2	p2_t1	42	1	19
patient2	p2_t1	42	2	31
patient2	p2_t1	42	3	0
patient2	p2_t1	42	4	30
patient2	p2_t1	42	5	1
patient2	p2_t1	42	6	19
patient2	p2_t1	43	1	21
patient2	p2_t1	43	2	29
patient2	p2_t1	43	3	0
patient2	p2_t1	43	4	49
patient2	p2_t1	43	5	1
patient2	p2_t1	43	6	0
patient2	p2_t1	44	1	43
patient2	p2_t1	44	2	7
patient2	p2_t1	44	3	0
patient2	p2_t1	44	4	49
patient2	p2_t1	44	5	1
patient2	p2_t1	44	6	0
patient2	p2_t1	45	1	48
patient2	p2_t1	45	2	2
patient2	p2_t1	45	3	0
patient2	p2_t1	45	4	48
patient2	p2_t1	45	5	1
patient2	p2_t1	45	6	1
patient2	p2_t1	46	1	25
patient2	p2_t1	46	2	25
patient2	p2_t1	46	3	0
patient2	p2_t1	46	4	35
patient2	p2_t1	46	5	1
patient2	p2_t1	46	6	14
patient2	p2_t1	47	1	11
patient2	p2_t1	47	2	39
patient2	p2_t1	47	3	0
patient2	p2_t1	47	4	36
patient2	p2_t1	47	5	1
patient2	p2_t1	47	6	13
patient2	p2_t1	48	1	15
patient2	p2_t1	48	2	35
patient2	p2_t1	48	3	0
patient2	p2_t1	48	4	34
patient2	p2_t1	48	5	1
patient2	p2_t1	48	6	15
patient2	p2_t1	49	1	3
patient2	p2_t1	49	2	50
patient2	p2_t1	49	3	0
patient2	p2_t1	49	4	46
patient2	p2_t1	49	5	1
patient2	p2_t1	49	6	0
patient2	p2_t1	50	1	18
patient2	p2_t1	50	2	32
patient2	p2_t1	50	3	0
patient2	p2_t1	50	4	49
patient2	p2_t1	50	5	1
patient2	p2_t1	50	6	0
patient2	p2_t1	51	1	3
patient2	p2_t1	51	2	47
patient2	p2_t1	51	3	0
patient2	p2_t1	51	4	49
patient2	p2_t1	51	5	1
patient2	p2_t1	51	6	0
patient2	p2_t1	52	1	0
patient2	p2_t1	52	2	51
patient2	p2_t1	52	3	0
patient2	p2_t1	52	4	49
patient2	p2_t1	52	5	0
patient2	p2_t1	52	6	0
patient2	p2_t1	53	1	14
patient2	p2_t1	53	2	36
patient2	p2_t1	53	3	0
patient2	p2_t1	53	4	49
patient2	p2_t1	53	5	1
patient2	p2_t1	53	6	0
patient2	p2_t1	54	1	43
patient2	p2_t1	54	2	7
patient2	p2_t1	54	3	0
patient2	p2_t1	54	4	49
patient2	p2_t1	54	5	1
patient2	p2_t1	54	6	0
patient2	p2_t1	55	1	43
patient2	p2_t1	55	2	8
patient2	p2_t1	55	3	0
patient2	p2_t1	55	4	48
patient2	p2_t1	55	5	1
patient2	p2_t1	55	6	0
patient2	p2_t1	56	1	26
patient2	p2_t1	56	2	24
patient2	p2_t1	56	3	0
patient2	p2_t1	56	4	33
patient2	p2_t1	56	5	1
patient2	p2_t1	56	6	16
patient2	p2_t1	57	1	30
patient2	p2_t1	57	2	20
patient2	p2_t1	57	3	0
patient2	p2_t1	57	4	33
patient2	p2_t1	57	5	1
patient2	p2_t1	57	6	16
patient2	p2_t1	58	1	59
patient2	p2_t1	58	2	0
patient2	p2_t1	58	3	0
patient2	p2_t1	58	4	40
patient2	p2_t1	58	5	1
patient2	p2_t1	58	6	0
patient2	p2_t1	59	1	14
patient2	p2_t1	59	2	36
patient2	p2_t1	59	3	0
patient2	p2_t1	59	4	33
patient2	p2_t1	59	5	1
patient2	p2_t1	59	6	16
patient2	p2_t1	60	1	18
patient2	p2_t1	60	2	32
patient2	p2_t1	60	3	0
patient2	p2_t1	60	4	33
patient2	p2_t1	60	5	1
patient2	p2_t1	60	6	16
patient2	p2_t1	61	1	52
patient2	p2_t1	61	2	0
patient2	p2_t1	61	3	0
patient2	p2_t1	61	4	47
patient2	p2_t1	61	5	1
patient2	p2_t1	61	6	0
patient2	p2_t1	62	1	57
patient2	p2_t1	62	2	0
patient2	p2_t1	62	3	0
patient2	p2_t1	62	4	25
patient2	p2_t1	62	5	1
patient2	p2_t1	62	6	17
patient2	p2_t1	63	1	12
patient2	p2_t1	63	2	38
patient2	p2_t1	63	3	0
patient2	p2_t1	63	4	49
patient2	p2_t1	63	5	1
patient2	p2_t1	63	6	0
patient2	p2_t1	64	1	56
patient2	p2_t1	64	2	0
patient2	p2_t1	64	3	0
patient2	p2_t1	64	4	27
patient2	p2_t1	64	5	1
patient2	p2_t1	64	6	16
patient2	p2_t1	65	1	46
patient2	p2_t1	65	2	6
patient2	p2_t1	65	3	0
patient2	p2_t1	65	4	30
patient2	p2_t1	65	5	1
patient2	p2_t1	65	6	17
patient2	p2_t1	66	1	14
patient2	p2_t1	66	2	36
patient2	p2_t1	66	3	0
patient2	p2_t1	66	4	34
patient2	p2_t1	66	5	1
patient2	p2_t1	66	6	15
patient2	p2_t1	67	1	8
patient2	p2_t1	67	2	42
patient2	p2_t1	67	3	0
patient2	p2_t1	67	4	32
patient2	p2_t1	67	5	1
patient2	p2_t1	67	6	17
patient2	p2_t1	68	1	51
patient2	p2_t1	68	2	0
patient2	p2_t1	68	3	0
patient2	p2_t1	68	4	48
patient2	p2_t1	68	5	1
patient2	p2_t1	68	6	0
patient2	p2_t1	69	1	53
patient2	p2_t1	69	2	0
patient2	p2_t1	69	3	0
patient2	p2_t1	69	4	31
patient2	p2_t1	69	5	1
patient2	p2_t1	69	6	15
patient2	p2_t1	70	1	32
patient2	p2_t1	70	2	18
patient2	p2_t1	70	3	0
patient2	p2_t1	70	4	49
patient2	p2_t1	70	5	1
patient2	p2_t1	70	6	0
patient2	p2_t1	71	1	42
patient2	p2_t1	71	2	8
patient2	p2_t1	71	3	0
patient2	p2_t1	71	4	32
patient2	p2_t1	71	5	1
patient2	p2_t1	71	6	17
patient2	p2_t1	72	1	16
patient2	p2_t1	72	2	34
patient2	p2_t1	72	3	0
patient2	p2_t1	72	4	31
patient2	p2_t1	72	5	1
patient2	p2_t1	72	6	18
patient2	p2_t1	73	1	10
patient2	p2_t1	73	2	40
patient2	p2_t1	73	3	0
patient2	p2_t1	73	4	34
patient2	p2_t1	73	5	1
patient2	p2_t1	73	6	15
patient2	p2_t1	74	1	40
patient2	p2_t1	74	2	10
patient2	p2_t1	74	3	0
patient2	p2_t1	74	4	49
patient2	p2_t1	74	5	1
patient2	p2_t1	74	6	0
patient2	p2_t1	75	1	35
patient2	p2_t1	75	2	15
patient2	p2_t1	75	3	0
patient2	p2_t1	75	4	31
patient2	p2_t1	75	5	1
patient2	p2_t1	75	6	18
patient2	p2_t1	76	1	45
patient2	p2_t1	76	2	5
patient2	p2_t1	76	3	0
patient2	p2_t1	76	4	49
patient2	p2_t1	76	5	1
patient2	p2_t1	76	6	0
patient2	p2_t1	77	1	49
patient2	p2_t1	77	2	1
patient2	p2_t1	77	3	0
patient2	p2_t1	77	4	49
patient2	p2_t1	77	5	1
patient2	p2_t1	77	6	0
patient2	p2_t1	78	1	21
patient2	p2_t1	78	2	29
patient2	p2_t1	78	3	0
patient2	p2_t1	78	4	49
patient2	p2_t1	78	5	1
patient2	p2_t1	78	6	0
patient2	p2_t1	79	1	19
patient2	p2_t1	79	2	31
patient2	p2_t1	79	3	0
patient2	p2_t1	79	4	33
patient2	p2_t1	79	5	1
patient2	p2_t1	79	6	16
patient2	p2_t1	80	1	50
patient2	p2_t1	80	2	0
patient2	p2_t1	80	3	0
patient2	p2_t1	80	4	35
patient2	p2_t1	80	5	1
patient2	p2_t1	80	6	14
patient2	p2_t1	81	1	27
patient2	p2_t1	81	2	24
patient2	p2_t1	81	3	0
patient2	p2_t1	81	4	48
patient2	p2_t1	81	5	1
patient2	p2_t1	81	6	0
patient2	p2_t1	82	1	36
patient2	p2_t1	82	2	14
patient2	p2_t1	82	3	0
patient2	p2_t1	82	4	33
patient2	p2_t1	82	5	1
patient2	p2_t1	82	6	16
patient2	p2_t1	83	1	35
patient2	p2_t1	83	2	16
patient2	p2_t1	83	3	0
patient2	p2_t1	83	4	31
patient2	p2_t1	83	5	1
patient2	p2_t1	83	6	17
patient2	p2_t1	84	1	48
patient2	p2_t1	84	2	2
patient2	p2_t1	84	3	0
patient2	p2_t1	84	4	32
patient2	p2_t1	84	5	1
patient2	p2_t1	84	6	17
patient2	p2_t1	85	1	24
patient2	p2_t1	85	2	27
patient2	p2_t1	85	3	0
patient2	p2_t1	85	4	48
patient2	p2_t1	85	5	1
patient2	p2_t1	85	6	0
patient2	p2_t1	86	1	18
patient2	p2_t1	86	2	33
patient2	p2_t1	86	3	0
patient2	p2_t1	86	4	48
patient2	p2_t1	86	5	1
patient2	p2_t1	86	6	0
patient2	p2_t1	87	1	26
patient2	p2_t1	87	2	24
patient2	p2_t1	87	3	0
patient2	p2_t1	87	4	34
patient2	p2_t1	87	5	1
patient2	p2_t1	87	6	15
patient2	p2_t1	88	1	26
patient2	p2_t1	88	2	25
patient2	p2_t1	88	3	0
patient2	p2_t1	88	4	36
patient2	p2_t1	88	5	1
patient2	p2_t1	88	6	12
patient2	p2_t1	89	1	37
patient2	p2_t1	89	2	13
patient2	p2_t1	89	3	0
patient2	p2_t1	89	4	49
patient2	p2_t1	89	5	1
patient2	p2_t1	89	6	0
patient2	p2_t1	90	1	16
patient2	p2_t1	90	2	34
patient2	p2_t1	90	3	0
patient2	p2_t1	90	4	33
patient2	p2_t1	90	5	1
patient2	p2_t1	90	6	16
patient2	p2_t1	91	1	7
patient2	p2_t1	91	2	43
patient2	p2_t1	91	3	0
patient2	p2_t1	91	4	49
patient2	p2_t1	91	5	1
patient2	p2_t1	91	6	0
patient2	p2_t1	92	1	17
patient2	p2_t1	92	2	34
patient2	p2_t1	92	3	0
patient2	p2_t1	92	4	33
patient2	p2_t1	92	5	1
patient2	p2_t1	92	6	15
patient2	p2_t1	93	1	45
patient2	p2_t1	93	2	5
patient2	p2_t1	93	3	0
patient2	p2_t1	93	4	49
patient2	p2_t1	93	5	1
patient2	p2_t1	93	6	0
patient2	p2_t1	94	1	50
patient2	p2_t1	94	2	0
patient2	p2_t1	94	3	0
patient2	p2_t1	94	4	49
patient2	p2_t1	94	5	1
patient2	p2_t1	94	6	0
patient2	p2_t1	95	1	16
patient2	p2_t1	95	2	34
patient2	p2_t1	95	3	0
patient2	p2_t1	95	4	49
patient2	p2_t1	95	5	1
patient2	p2_t1	95	6	0
patient2	p2_t1	96	1	54
patient2	p2_t1	96	2	0
patient2	p2_t1	96	3	0
patient2	p2_t1	96	4	31
patient2	p2_t1	96	5	1
patient2	p2_t1	96	6	14
patient2	p2_t1	97	1	35
patient2	p2_t1	97	2	15
patient2	p2_t1	97	3	0
patient2	p2_t1	97	4	33
patient2	p2_t1	97	5	1
patient2	p2_t1	97	6	16
patient2	p2_t1	98	1	51
patient2	p2_t1	98	2	0
patient2	p2_t1	98	3	0
patient2	p2_t1	98	4	48
patient2	p2_t1	98	5	1
patient2	p2_t1	98	6	0
patient2	p2_t1	99	1	62
patient2	p2_t1	99	2	0
patient2	p2_t1	99	3	0
patient2	p2_t1	99	4	37
patient2	p2_t1	99	5	1
patient2	p2_t1	99	6	0
patient2	p2_t1	100	1	63
patient2	p2_t1	100	2	0
patient2	p2_t1	100	3	0
patient2	p2_t1	100	4	36
patient2	p2_t1	100	5	1
patient2	p2_t1	100	6	0
patient2	p2_t1	101	1	34
patient2	p2_t1	101	2	16
patient2	p2_t1	101	3	0
patient2	p2_t1	101	4	49
patient2	p2_t1	101	5	1
patient2	p2_t1	101	6	0
patient2	p2_t1	102	1	8
patient2	p2_t1	102	2	43
patient2	p2_t1	102	3	0
patient2	p2_t1	102	4	31
patient2	p2_t1	102	5	1
patient2	p2_t1	102	6	17
patient2	p2_t1	103	1	16
patient2	p2_t1	103	2	34
patient2	p2_t1	103	3	0
patient2	p2_t1	103	4	49
patient2	p2_t1	103	5	1
patient2	p2_t1	103	6	0
patient2	p2_t1	104	1	46
patient2	p2_t1	104	2	5
patient2	p2_t1	104	3	0
patient2	p2_t1	104	4	32
patient2	p2_t1	104	5	1
patient2	p2_t1	104	6	16
patient2	p2_t1	105	1	5
patient2	p2_t1	105	2	45
patient2	p2_t1	105	3	0
patient2	p2_t1	105	4	48
patient2	p2_t1	105	5	1
patient2	p2_t1	105	6	1
patient2	p2_t1	106	1	21
patient2	p2_t1	106	2	29
patient2	p2_t1	106	3	0
patient2	p2_t1	106	4	32
patient2	p2_t1	106	5	1
patient2	p2_t1	106	6	17
patient2	p2_t1	107	1	48
patient2	p2_t1	107	2	2
patient2	p2_t1	107	3	0
patient2	p2_t1	107	4	49
patient2	p2_t1	107	5	1
patient2	p2_t1	107	6	0
patient2	p2_t1	108	1	54
patient2	p2_t1	108	2	0
patient2	p2_t1	108	3	0
patient2	p2_t1	108	4	30
patient2	p2_t1	108	5	1
patient2	p2_t1	108	6	15
patient2	p2_t1	109	1	42
patient2	p2_t1	109	2	8
patient2	p2_t1	109	3	0
patient2	p2_t1	109	4	49
patient2	p2_t1	109	5	1
patient2	p2_t1	109	6	0
patient2	p2_t1	110	1	38
patient2	p2_t1	110	2	13
patient2	p2_t1	110	3	0
patient2	p2_t1	110	4	48
patient2	p2_t1	110	5	1
patient2	p2_t1	110	6	0
patient2	p2_t1	111	1	26
patient2	p2_t1	111	2	24
patient2	p2_t1	111	3	0
patient2	p2_t1	111	4	31
patient2	p2_t1	111	5	1
patient2	p2_t1	111	6	18
patient2	p2_t1	112	1	27
patient2	p2_t1	112	2	24
patient2	p2_t1	112	3	0
patient2	p2_t1	112	4	48
patient2	p2_t1	112	5	1
patient2	p2_t1	112	6	0
patient2	p2_t1	113	1	19
patient2	p2_t1	113	2	31
patient2	p2_t1	113	3	0
patient2	p2_t1	113	4	49
patient2	p2_t1	113	5	1
patient2	p2_t1	113	6	0
patient2	p2_t1	114	1	43
patient2	p2_t1	114	2	8
patient2	p2_t1	114	3	0
patient2	p2_t1	114	4	48
patient2	p2_t1	114	5	1
patient2	p2_t1	114	6	0
patient2	p2_t1	115	1	35
patient2	p2_t1	115	2	15
patient2	p2_t1	115	3	0
patient2	p2_t1	115	4	35
patient2	p2_t1	115	5	1
patient2	p2_t1	115	6	14
patient2	p2_t1	116	1	5
patient2	p2_t1	116	2	45
patient2	p2_t1	116	3	0
patient2	p2_t1	116	4	31
patient2	p2_t1	116	5	1
patient2	p2_t1	116	6	18
patient2	p2_t1	117	1	18
patient2	p2_t1	117	2	32
patient2	p2_t1	117	3	0
patient2	p2_t1	117	4	33
patient2	p2_t1	117	5	1
patient2	p2_t1	117	6	16
patient2	p2_t1	118	1	5
patient2	p2_t1	118	2	46
patient2	p2_t1	118	3	0
patient2	p2_t1	118	4	48
patient2	p2_t1	118	5	1
patient2	p2_t1	118	6	0
patient2	p2_t1	119	1	33
patient2	p2_t1	119	2	18
patient2	p2_t1	119	3	0
patient2	p2_t1	119	4	48
patient2	p2_t1	119	5	1
patient2	p2_t1	119	6	0
patient2	p2_t1	120	1	37
patient2	p2_t1	120	2	13
patient2	p2_t1	120	3	0
patient2	p2_t1	120	4	49
patient2	p2_t1	120	5	1
patient2	p2_t1	120	6	0
patient2	p2_t1	121	1	40
patient2	p2_t1	121	2	10
patient2	p2_t1	121	3	0
patient2	p2_t1	121	4	49
patient2	p2_t1	121	5	1
patient2	p2_t1	121	6	0
patient2	p2_t1	122	1	6
patient2	p2_t1	122	2	44
patient2	p2_t1	122	3	0
patient2	p2_t1	122	4	49
patient2	p2_t1	122	5	1
patient2	p2_t1	122	6	0
patient2	p2_t1	123	1	43
patient2	p2_t1	123	2	8
patient2	p2_t1	123	3	0
patient2	p2_t1	123	4	32
patient2	p2_t1	123	5	1
patient2	p2_t1	123	6	16
patient2	p2_t1	124	1	3
patient2	p2_t1	124	2	47
patient2	p2_t1	124	3	0
patient2	p2_t1	124	4	49
patient2	p2_t1	124	5	1
patient2	p2_t1	124	6	0
patient2	p2_t1	125	1	32
patient2	p2_t1	125	2	18
patient2	p2_t1	125	3	0
patient2	p2_t1	125	4	33
patient2	p2_t1	125	5	1
patient2	p2_t1	125	6	16
patient2	p2_t1	126	1	47
patient2	p2_t1	126	2	8
patient2	p2_t1	126	3	0
patient2	p2_t1	126	4	44
patient2	p2_t1	126	5	1
patient2	p2_t1	126	6	0
patient2	p2_t1	127	1	12
patient2	p2_t1	127	2	40
patient2	p2_t1	127	3	0
patient2	p2_t1	127	4	47
patient2	p2_t1	127	5	1
patient2	p2_t1	127	6	0
patient2	p2_t1	128	1	17
patient2	p2_t1	128	2	35
patient2	p2_t1	128	3	0
patient2	p2_t1	128	4	47
patient2	p2_t1	128	5	1
patient2	p2_t1	128	6	0
patient2	p2_t1	129	1	39
patient2	p2_t1	129	2	11
patient2	p2_t1	129	3	0
patient2	p2_t1	129	4	49
patient2	p2_t1	129	5	1
patient2	p2_t1	129	6	0
patient2	p2_t1	130	1	44
patient2	p2_t1	130	2	7
patient2	p2_t1	130	3	0
patient2	p2_t1	130	4	33
patient2	p2_t1	130	5	1
patient2	p2_t1	130	6	15
patient2	p2_t1	131	1	27
patient2	p2_t1	131	2	23
patient2	p2_t1	131	3	0
patient2	p2_t1	131	4	49
patient2	p2_t1	131	5	1
patient2	p2_t1	131	6	0
patient2	p2_t1	132	1	12
patient2	p2_t1	132	2	38
patient2	p2_t1	132	3	0
patient2	p2_t1	132	4	49
patient2	p2_t1	132	5	1
patient2	p2_t1	132	6	0
patient2	p2_t1	133	1	25
patient2	p2_t1	133	2	26
patient2	p2_t1	133	3	0
patient2	p2_t1	133	4	34
patient2	p2_t1	133	5	1
patient2	p2_t1	133	6	14
patient2	p2_t1	134	1	0
patient2	p2_t1	134	2	50
patient2	p2_t1	134	3	0
patient2	p2_t1	134	4	31
patient2	p2_t1	134	5	1
patient2	p2_t1	134	6	18
patient2	p2_t1	135	1	36
patient2	p2_t1	135	2	14
patient2	p2_t1	135	3	0
patient2	p2_t1	135	4	49
patient2	p2_t1	135	5	1
patient2	p2_t1	135	6	0
patient2	p2_t1	136	1	2
patient2	p2_t1	136	2	49
patient2	p2_t1	136	3	0
patient2	p2_t1	136	4	33
patient2	p2_t1	136	5	1
patient2	p2_t1	136	6	15
patient2	p2_t1	137	1	55
patient2	p2_t1	137	2	0
patient2	p2_t1	137	3	0
patient2	p2_t1	137	4	30
patient2	p2_t1	137	5	1
patient2	p2_t1	137	6	14
patient2	p2_t1	138	1	32
patient2	p2_t1	138	2	18
patient2	p2_t1	138	3	0
patient2	p2_t1	138	4	34
patient2	p2_t1	138	5	1
patient2	p2_t1	138	6	15
patient2	p2_t1	139	1	46
patient2	p2_t1	139	2	4
patient2	p2_t1	139	3	0
patient2	p2_t1	139	4	32
patient2	p2_t1	139	5	1
patient2	p2_t1	139	6	17
patient2	p2_t1	140	1	26
patient2	p2_t1	140	2	24
patient2	p2_t1	140	3	0
patient2	p2_t1	140	4	34
patient2	p2_t1	140	5	1
patient2	p2_t1	140	6	15
patient2	p2_t1	141	1	8
patient2	p2_t1	141	2	42
patient2	p2_t1	141	3	0
patient2	p2_t1	141	4	49
patient2	p2_t1	141	5	1
patient2	p2_t1	141	6	0
patient2	p2_t1	142	1	10
patient2	p2_t1	142	2	40
patient2	p2_t1	142	3	0
patient2	p2_t1	142	4	49
patient2	p2_t1	142	5	1
patient2	p2_t1	142	6	0
patient2	p2_t1	143	1	29
patient2	p2_t1	143	2	21
patient2	p2_t1	143	3	0
patient2	p2_t1	143	4	49
patient2	p2_t1	143	5	1
patient2	p2_t1	143	6	0
patient2	p2_t1	144	1	42
patient2	p2_t1	144	2	8
patient2	p2_t1	144	3	0
patient2	p2_t1	144	4	31
patient2	p2_t1	144	5	1
patient2	p2_t1	144	6	18
patient2	p2_t1	145	1	29
